Title,Authors,Publication Name,Publication Year,DOI,Link
The use of combined machine learning and in-silico molecular approaches for the study and the prediction of anti-HIV activity,Ouabane M.,Current Chemistry Letters,2025-12-01,10.5267/j.ccl.2024.6.004,https://api.elsevier.com/content/abstract/scopus_id/85210243094
The application of GCN algorithm in Building Construction Knowledge Graph updating under the combination of artificial intelligence and knowledge management,He L.,International Journal of Cognitive Computing in Engineering,2025-12-01,10.1016/j.ijcce.2024.11.001,https://api.elsevier.com/content/abstract/scopus_id/85210131130
Epigenetic dysregulation in glioblastoma: potential pathways to precision medicine,Prakash V.,Neurogenetics,2025-12-01,10.1007/s10048-024-00793-5,https://api.elsevier.com/content/abstract/scopus_id/85210102601
Advances in Primary Central Nervous System Lymphoma,Therkelsen K.E.,Current Neurology and Neuroscience Reports,2025-12-01,10.1007/s11910-024-01389-0,https://api.elsevier.com/content/abstract/scopus_id/85210092297
Advancing personalized healthcare: leveraging explainable AI for BPPV risk assessment,Khani M.,Health Information Science and Systems,2025-12-01,10.1007/s13755-024-00317-3,https://api.elsevier.com/content/abstract/scopus_id/85210090579
Emotional analysis of broadcasting and hosting speech by integrating grid PSO-SVR and PAD models,Pan S.,International Journal of Cognitive Computing in Engineering,2025-12-01,10.1016/j.ijcce.2024.11.002,https://api.elsevier.com/content/abstract/scopus_id/85209914453
Heterozygous Predicted Loss-of-function Variants of TRAF3 in Patients with Common Variable Immunodeficiency,Urban B.,Journal of Clinical Immunology,2025-12-01,10.1007/s10875-024-01833-3,https://api.elsevier.com/content/abstract/scopus_id/85209881278
Design of news sentiment classification and recommendation system based on multi-model fusion and text similarity,Xi Q.,International Journal of Cognitive Computing in Engineering,2025-12-01,10.1016/j.ijcce.2024.11.003,https://api.elsevier.com/content/abstract/scopus_id/85209877149
On the uniqueness of AntiVirus labels: How many labels do we need to fingerprint an AV?,Botacin M.,Journal of Computer Virology and Hacking Techniques,2025-12-01,10.1007/s11416-024-00541-1,https://api.elsevier.com/content/abstract/scopus_id/85209748049
Bioinspired Ultrasensitive Flexible Strain Sensors for Real-Time Wireless Detection of Liquid Leakage,Zhou W.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01575-2,https://api.elsevier.com/content/abstract/scopus_id/85209736908
Industry 4.0 technologies and international performance of SMEs: mediated-moderated perspectives,Rehman S.U.,International Entrepreneurship and Management Journal,2025-12-01,10.1007/s11365-024-01048-3,https://api.elsevier.com/content/abstract/scopus_id/85209664656
Artificial Intelligence as a Tool for Creating Patient Visit Summary: A Scoping Review and Guide to Implementation in an Erectile Dysfunction Clinic,Lumbiganon S.,Current Urology Reports,2025-12-01,10.1007/s11934-024-01237-1,https://api.elsevier.com/content/abstract/scopus_id/85209553159
MXene Hybridized Polymer with Enhanced Electromagnetic Energy Harvest for Sensitized Microwave Actuation and Self-Powered Motion Sensing,Wang Y.Z.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01578-z,https://api.elsevier.com/content/abstract/scopus_id/85209553128
Flexible Strain Sensors with Ultra-High Sensitivity and Wide Range Enabled by Crack-Modulated Electrical Pathways,Bai Y.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01571-6,https://api.elsevier.com/content/abstract/scopus_id/85209539663
"Expression of Salivary miRNAs, Clinical, and Demographic Features in the Early Detection of Gastric Cancer: A Statistical and Machine Learning Analysis",Koopaie M.,Journal of Gastrointestinal Cancer,2025-12-01,10.1007/s12029-024-01136-1,https://api.elsevier.com/content/abstract/scopus_id/85209484066
Enhancing Male Fertility Through AI-Based Management of Varicoceles,Huang Z.,Current Urology Reports,2025-12-01,10.1007/s11934-024-01241-5,https://api.elsevier.com/content/abstract/scopus_id/85209475899
"Artificial Intelligence for Clinical Management of Male Infertility, a Scoping Review",Naik N.,Current Urology Reports,2025-12-01,10.1007/s11934-024-01239-z,https://api.elsevier.com/content/abstract/scopus_id/85209474210
The prognostic implications and oncogenic role of NSUN5 in clear cell renal cell carcinoma,Huang C.,Clinical and Experimental Medicine,2025-12-01,10.1007/s10238-024-01507-9,https://api.elsevier.com/content/abstract/scopus_id/85209404418
Evaluating digital maturity in specialized enterprises: a multi-criteria decision-making approach,Zhu Y.,International Entrepreneurship and Management Journal,2025-12-01,10.1007/s11365-024-01051-8,https://api.elsevier.com/content/abstract/scopus_id/85209360846
"Recent Advances in Artificial Sensory Neurons: Biological Fundamentals, Devices, Applications, and Challenges",Zhong S.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01550-x,https://api.elsevier.com/content/abstract/scopus_id/85209180506
Unlocking funding success: intercultural entrepreneurship dynamics in European startups,Martielli F.,International Entrepreneurship and Management Journal,2025-12-01,10.1007/s11365-024-01038-5,https://api.elsevier.com/content/abstract/scopus_id/85209144341
Pseudo-trajectory inference for identifying essential regulations and molecules in cell fate decisions,He X.,Journal of Biological Physics,2025-12-01,10.1007/s10867-024-09665-3,https://api.elsevier.com/content/abstract/scopus_id/85209101326
An Artificial Intelligence-Assisted Flexible and Wearable Mechanoluminescent Strain Sensor System,Dong Y.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01572-5,https://api.elsevier.com/content/abstract/scopus_id/85209099436
A two-dimensional magnetotelluric deep learning inversion approach based on improved Dense Convolutional Network,Yu N.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105765,https://api.elsevier.com/content/abstract/scopus_id/85209097535
Multimodal feature integration network for lithology identification from point cloud data,Jing R.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105775,https://api.elsevier.com/content/abstract/scopus_id/85208983693
Removing atmospheric noise from InSAR interferograms in mountainous regions with a convolutional neural network,Brencher G.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105771,https://api.elsevier.com/content/abstract/scopus_id/85208977088
The Digital Revolution in Medicine: Applications in Cardio-Oncology,Echefu G.,Current Treatment Options in Cardiovascular Medicine,2025-12-01,10.1007/s11936-024-01059-x,https://api.elsevier.com/content/abstract/scopus_id/85208748615
Unlocking growth potential: investigating the significance of firm location for music startups,Shabtai R.H.,International Entrepreneurship and Management Journal,2025-12-01,10.1007/s11365-024-01027-8,https://api.elsevier.com/content/abstract/scopus_id/85208738363
Smart Gas Sensors: Recent Developments and Future Prospective,Zong B.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01543-w,https://api.elsevier.com/content/abstract/scopus_id/85208631944
Complex shape markers can detect alterations in the spatial distribution of cell nuclei in human lung squamous cell carcinoma: a useful tool for automatic analysis?,dos Santos A.V.F.,Histochemistry and Cell Biology,2025-12-01,10.1007/s00418-024-02336-3,https://api.elsevier.com/content/abstract/scopus_id/85208603364
Regularization by double complementary priors for full waveform inversion,Qi H.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105753,https://api.elsevier.com/content/abstract/scopus_id/85208589521
Backpropagation-based inference for spatial interpolation to estimate the blastability index in an open pit mine,Hajlaoui Y.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105756,https://api.elsevier.com/content/abstract/scopus_id/85208572744
Latent diffusion model for conditional reservoir facies generation,Lee D.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105750,https://api.elsevier.com/content/abstract/scopus_id/85208568575
Curvilinear lineament extraction: Bayesian optimization of Principal Component Wavelet Analysis and Hysteresis Thresholding,Abbassi B.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105768,https://api.elsevier.com/content/abstract/scopus_id/85208499680
Latent diffusion models for parameterization of facies-based geomodels and their use in data assimilation,Di Federico G.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105755,https://api.elsevier.com/content/abstract/scopus_id/85208482635
Development and validation of a model for predicting who can benefit from multiple TACE in HCC patients,Zhang H.,Clinical and Experimental Medicine,2025-12-01,10.1007/s10238-024-01516-8,https://api.elsevier.com/content/abstract/scopus_id/85208291151
Shale sample permeability estimation using fractal parameters computed from TransUnet-based SEM image segmentation,Liu K.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105745,https://api.elsevier.com/content/abstract/scopus_id/85208172515
Current and Future Directions of Technology in Assessment of Peyronie’s Disease,Mian A.H.,Current Urology Reports,2025-12-01,10.1007/s11934-024-01247-z,https://api.elsevier.com/content/abstract/scopus_id/85208135008
SwinInver: 3D data-driven seismic impedance inversion based on Swin Transformer and adversarial training,Zhu X.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105743,https://api.elsevier.com/content/abstract/scopus_id/85208027725
Towards superior android ransomware detection: An ensemble machine learning perspective,Hossain M.A.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100076,https://api.elsevier.com/content/abstract/scopus_id/85207803322
A novel algorithm for identifying arrival times of P and S Waves in seismic borehole surveys,Anbazhagan P.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105746,https://api.elsevier.com/content/abstract/scopus_id/85207779260
A Flexible Smart Healthcare Platform Conjugated with Artificial Epidermis Assembled by Three-Dimensionally Conductive MOF Network for Gas and Pressure Sensing,Zhou Q.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01548-5,https://api.elsevier.com/content/abstract/scopus_id/85207695719
Adaptive constraint-guided surrogate enhanced evolutionary algorithm for horizontal well placement optimization in oil reservoir,Dai Q.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105740,https://api.elsevier.com/content/abstract/scopus_id/85207694398
Startup entrepreneurs’ personality traits and resilience: unveiling the interplay of prior experience,Branca E.,International Entrepreneurship and Management Journal,2025-12-01,10.1007/s11365-024-01023-y,https://api.elsevier.com/content/abstract/scopus_id/85207633246
Tennis teaching assistance model based on double chain shared unsupervised action recognition algorithm,Bai H.,International Journal of Cognitive Computing in Engineering,2025-12-01,10.1016/j.ijcce.2024.10.001,https://api.elsevier.com/content/abstract/scopus_id/85207597790
Intelligent fault prediction with wavelet-SVM fusion in coal mine,Han C.,Computers and Geosciences,2025-12-01,10.1016/j.cageo.2024.105744,https://api.elsevier.com/content/abstract/scopus_id/85207575751
Dissecting Secondary Immunodeficiency: Identification of Primary Immunodeficiency within B-Cell Lymphoproliferative Disorders,Palacios-Ortega M.,Journal of Clinical Immunology,2025-12-01,10.1007/s10875-024-01818-2,https://api.elsevier.com/content/abstract/scopus_id/85207379751
Cognitive computing method based on decoding psychological emotional states,Huangfu B.,International Journal of Cognitive Computing in Engineering,2025-12-01,10.1016/j.ijcce.2024.10.002,https://api.elsevier.com/content/abstract/scopus_id/85207339610
Novel hybrid deep learning based cyber security threat detection model with optimization algorithm,Markkandeyan S.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100075,https://api.elsevier.com/content/abstract/scopus_id/85206973211
Optimizing breast cancer diagnosis: Harnessing the power of nature-inspired metaheuristics for feature selection with soft voting classifiers,Benghazouani S.,International Journal of Cognitive Computing in Engineering,2025-12-01,10.1016/j.ijcce.2024.09.005,https://api.elsevier.com/content/abstract/scopus_id/85206830427
Gradient-Layered MXene/Hollow Lignin Nanospheres Architecture Design for Flexible and Stretchable Supercapacitors,Zhang H.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01512-3,https://api.elsevier.com/content/abstract/scopus_id/85206568639
A Rapid Adaptation Approach for Dynamic Air-Writing Recognition Using Wearable Wristbands with Self-Supervised Contrastive Learning,Guo Y.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01545-8,https://api.elsevier.com/content/abstract/scopus_id/85206499030
Ultra-High Sensitivity Anisotropic Piezoelectric Sensors for Structural Health Monitoring and Robotic Perception,Yin H.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01539-6,https://api.elsevier.com/content/abstract/scopus_id/85206498331
"Chemical Concentrations, Source Emission, Potential Toxicity, and Health Risk of Ambient Fine Particulate Matter and Its Constituents: A Recent Literature Review",Bachwenkizi J.,Current Pollution Reports,2025-12-01,10.1007/s40726-024-00332-8,https://api.elsevier.com/content/abstract/scopus_id/85206257480
Automatic intrusion detection model with secure data storage on cloud using adaptive cyclic shift transposition with enhanced ANFIS classifier,K V K C.,Cyber Security and Applications,2025-12-01,10.1016/j.csa.2024.100073,https://api.elsevier.com/content/abstract/scopus_id/85206073157
Flexible Graphene Field-Effect Transistors and Their Application in Flexible Biomedical Sensing,Sun M.,Nano-Micro Letters,2025-12-01,10.1007/s40820-024-01534-x,https://api.elsevier.com/content/abstract/scopus_id/85206070184
